TIME,GEO,UNIT,IPC,Value
2004,European Union (28 countries),Number,Technologies or applications for mitigation or adaptation against climate change,867.749
2005,European Union (28 countries),Number,Technologies or applications for mitigation or adaptation against climate change,"1,082.35"
2006,European Union (28 countries),Number,Technologies or applications for mitigation or adaptation against climate change,"1,309.78"
2007,European Union (28 countries),Number,Technologies or applications for mitigation or adaptation against climate change,"1,772.84"
2008,European Union (28 countries),Number,Technologies or applications for mitigation or adaptation against climate change,"2,066.60"
2009,European Union (28 countries),Number,Technologies or applications for mitigation or adaptation against climate change,"2,395.72"
2010,European Union (28 countries),Number,Technologies or applications for mitigation or adaptation against climate change,"2,538.70"
2011,European Union (28 countries),Number,Technologies or applications for mitigation or adaptation against climate change,"2,674.07"
2012,European Union (28 countries),Number,Technologies or applications for mitigation or adaptation against climate change,"2,291.29"
2013,European Union (28 countries),Number,Technologies or applications for mitigation or adaptation against climate change,923.433
2004,Euro area (19 countries),Number,Technologies or applications for mitigation or adaptation against climate change,699.005
2005,Euro area (19 countries),Number,Technologies or applications for mitigation or adaptation against climate change,849.392
2006,Euro area (19 countries),Number,Technologies or applications for mitigation or adaptation against climate change,"1,035.41"
2007,Euro area (19 countries),Number,Technologies or applications for mitigation or adaptation against climate change,"1,395.06"
2008,Euro area (19 countries),Number,Technologies or applications for mitigation or adaptation against climate change,"1,607.48"
2009,Euro area (19 countries),Number,Technologies or applications for mitigation or adaptation against climate change,"1,906.83"
2010,Euro area (19 countries),Number,Technologies or applications for mitigation or adaptation against climate change,"1,931.99"
2011,Euro area (19 countries),Number,Technologies or applications for mitigation or adaptation against climate change,"2,034.38"
2012,Euro area (19 countries),Number,Technologies or applications for mitigation or adaptation against climate change,"1,758.98"
2013,Euro area (19 countries),Number,Technologies or applications for mitigation or adaptation against climate change,700.965
2004,Euro area (18 countries),Number,Technologies or applications for mitigation or adaptation against climate change,699.005
2005,Euro area (18 countries),Number,Technologies or applications for mitigation or adaptation against climate change,849.392
2006,Euro area (18 countries),Number,Technologies or applications for mitigation or adaptation against climate change,"1,035.41"
2007,Euro area (18 countries),Number,Technologies or applications for mitigation or adaptation against climate change,"1,394.73"
2008,Euro area (18 countries),Number,Technologies or applications for mitigation or adaptation against climate change,"1,607.48"
2009,Euro area (18 countries),Number,Technologies or applications for mitigation or adaptation against climate change,"1,905.83"
2010,Euro area (18 countries),Number,Technologies or applications for mitigation or adaptation against climate change,"1,931.99"
2011,Euro area (18 countries),Number,Technologies or applications for mitigation or adaptation against climate change,"2,034.38"
2012,Euro area (18 countries),Number,Technologies or applications for mitigation or adaptation against climate change,"1,757.87"
2013,Euro area (18 countries),Number,Technologies or applications for mitigation or adaptation against climate change,700.965
2004,Belgium,Number,Technologies or applications for mitigation or adaptation against climate change,18.31
2005,Belgium,Number,Technologies or applications for mitigation or adaptation against climate change,12.892
2006,Belgium,Number,Technologies or applications for mitigation or adaptation against climate change,16.262
